County,Area_sq_mi,Ticks,Mice,deer,References,,,,,,,,,,,,,,,,,,MD pop 2001-22 (average = 5895860). We are using 6 mil
Allegany,425,312806673.2,1564033.366,8544.595047,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,"2001: 5,374,691"
Anne Arundel,588,432777232.6,2163886.163,11684.23695,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,
Baltimore,682,501962708.5,2509813.543,13552.12517,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,"2002: 5,440,389"
Calvert,213,156771344.5,783856.7223,1828.145917,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,
Caroline,320,235525024.5,1177625.123,6855.547189,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,"2003: 5,496,269"
Carroll,449,330471050,1652355.25,6358.768407,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,
Cecil,418,307654563.3,1538272.816,9061.24498,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,"2004: 5,546,935"
Charles,643,473258096.2,2366290.481,6915.160643,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,
Dorchester,983,723503434.7,3617517.174,12777.15027,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,"2005: 5,592,379"
Frederick,667,490922473,2454612.365,19533.3417,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,
Garrett,647,476202159,2381010.795,13254.0579,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,"2006: 5,627,367"
Harford,527,387880274.8,1939401.374,13035.47523,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,
Howard,252,185475956.8,927379.7841,10452.22557,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,"2007: 5,653,408"
Kent,413,303974484.8,1519872.424,5027.401272,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,
Montgomery,507,373159960.7,1865799.804,8206.785475,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,"2008: 5,684,965"
Prince George's,498,366535819.4,1832679.097,10074.67369,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,
Queen Anne's,511,376104023.6,1880520.118,9637.508367,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,"2009: 5,730,388"
St. Mary's,764,562315996.1,2811579.98,7392.068273,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,
Somerset,611,449705593.7,2248527.969,10650.93708,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,"2010: 5,791,715"
Talbot,477,351079489.7,1755397.448,12141.27343,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,
Washington,457,336359175.7,1681795.878,9478.539157,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,"2011: 5,854,930"
Wicomico,400,294406280.7,1472031.403,9279.827644,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,
Worcester,695,511530912.7,2557654.563,7948.460509,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,"2012: 5,914,854"
Baltimore City,81,59617271.84,298086.3592,13810.45013,"Maryland Department of Agriculture (2023), Patch News (2019)",,,,,,,,,,,,,,,,,,
,12228,9000000000,45000000,237500,,,,,,,,,,,,,,,,,,,"2013: 5,963,434"
,,,,,,,,,,,,,,,,,,,,,,,
,,,30-45 mil,230-300k ,,,,,,,,,,,,,,,,,,,"2014: 6,010,059"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"2015: 6,050,280"
,,,,,,,,,,,,,,,,,,,,,,,
